time,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18
2002-10-01,-2.3113282,0.0171875,-2.5601563,-0.5578125,-1.9203125,-3.2703125,-1.9140625,-3.7628906,-0.92148435,-2.85,-2.8226562,-0.16523437,1.5136719,-4.15625,-2.6277344,-3.7369142,-12.514063,-10.791992
2002-11-01,-0.51523435,0.56289065,0.9152344,-0.115625,1.0515625,1.7195313,-0.84335935,1.6152344,-1.1296875,-2.2683594,-0.11835937,3.8164062,2.911328,-2.1621094,-2.692578,-2.5798829,-10.0625,-6.9107423
2002-12-01,0.6765625,0.703125,1.7175782,0.5328125,1.0257813,3.226953,-1.2453125,4.546094,-1.1589844,-2.5367188,0.7308594,4.84375,2.4316406,-1.26875,-1.628711,-1.6203125,-5.2816405,-0.24570313
2003-01-01,3.259375,1.7234375,-0.14296874,0.9515625,0.8214844,-0.3527344,-1.0257813,3.6445312,-1.0609375,-2.5632813,1.0347656,4.1753907,1.9738281,-0.45390624,-1.0957031,-0.49003905,2.9320312,5.841016
2003-02-01,5.5,2.9125,1.0949218,1.7277343,1.8898437,4.4820313,-0.54648435,3.3746095,-1.1753906,-1.9746094,0.92890626,4.1046877,1.5953125,0.54433596,0.246875,0.6027344,7.207422,5.713281
2003-03-01,8.253906,4.641797,2.7632813,2.3605468,2.7011719,1.9941406,0.10546875,5.8375,-1.23125,-0.96914065,2.1289062,3.7320313,1.153125,3.5304687,3.809375,1.8615234,10.618555,7.708789
2003-04-01,2.83125,0.10859375,0.08671875,2.1390624,0.715625,0.67890626,2.1382813,0.2890625,-0.34804687,0.7296875,1.1652343,-0.165625,-0.39414063,4.4414062,3.6839843,3.3558593,13.0001955,9.006445
2003-05-01,-1.5214844,-1.6347656,-0.7613281,1.6269531,1.8714844,4.241797,7.226172,4.575,2.3726563,4.341016,1.2652344,-4.776953,-2.45625,4.8263674,2.615039,4.7097654,11.448828,8.231445
2003-06-01,-2.1085937,0.45820314,0.30273438,-0.111328125,0.7464844,-1.6496093,3.5351562,1.7035156,3.7828126,4.9183593,2.79375,-2.6519532,-2.573047,2.3830078,0.69804686,2.5617187,5.471484,1.9503906
2003-07-01,-5.7441406,-4.7234373,-0.01640625,-2.29375,-2.728125,-1.65,2.5808594,-2.5953126,3.3402343,3.1625,-0.95,-2.9191406,-2.2003906,-1.2746093,-1.1449219,0.04433594,-2.4359374,-3.3792968
2003-08-01,-3.4585938,-3.4191406,-0.06289063,-2.5183594,-4.117578,-3.6765625,-4.169922,-9.2875,-0.7433594,-0.221875,-4.713281,-6.626172,-2.9230468,-3.5580077,-1.0880859,-1.9052734,-8.846484,-7.2054687
2003-09-01,-4.855078,-1.3523438,-3.3394532,-3.7398438,-2.0589843,-5.744531,-5.839453,-9.939453,-1.7253907,0.23476562,-1.4390625,-3.3660157,-1.0316406,-2.85,-0.77617186,-2.803711,-11.536718,-9.9144535
